Individual,Class,Amount,Unit
BasilCarbohydrate,SubstancePortion,4.34,g/100g
BasilFat,SubstancePortion,0.61,g/100g
BasilFoodEnergy,SubstancePortion,27,cal/100g
BasilIron,SubstancePortion,3.17,mg/100g
BasilPotassium,SubstancePortion,295,mg/100g
BasilProtein,SubstancePortion,2.54,g/100g
BasilSodium,SubstancePortion,4,mg/100g
BasilVitaminA,SubstancePortion,0.527,mg/100g
BasilVitaminC,SubstancePortion,18,mg/100g
CeleryLeavesCalcium,SubstancePortion,80,mg/100g
CeleryLeavesCarbohydrate,SubstancePortion,2,g/100g
CeleryLeavesFoodEnergy,SubstancePortion,12,cal/100g
CeleryLeavesPotassium,SubstancePortion,600,mg/100g
CeleryLeavesProtein,SubstancePortion,1,g/100g
CeleryLeavesSodium,SubstancePortion,80,mg/100g
CeleryLeavesVitaminA,SubstancePortion,0.022,mg/100g
CeleryLeavesVitaminC,SubstancePortion,60,mg/100g
RomaineLettuceCalcium,SubstancePortion,33,mg/100g
RomaineLettuceCarbohydrate,SubstancePortion,3.28,g/100g
RomaineLettuceFat,SubstancePortion,0.3,g/100g
RomaineLettuceFoodEnergy,SubstancePortion,17,cal/100g
RomaineLettuceIron,SubstancePortion,0.97,mg/100g
RomaineLettucePotassium,SubstancePortion,247,mg/100g
RomaineLettuceProtein,SubstancePortion,1.23,g/100g
RomaineLettuceSodium,SubstancePortion,8,mg/100g
RomaineLettuceVitaminA,SubstancePortion,0.29,mg/100g
RomaineLettuceVitaminC,SubstancePortion,24,mg/100g
IcebergLettuceCalcium,SubstancePortion,18,mg/100g
IcebergLettuceCarbohydrate,SubstancePortion,2.97,g/100g
IcebergLettuceFat,SubstancePortion,0.14,g/100g
IcebergLettuceFoodEnergy,SubstancePortion,14,cal/100g
IcebergLettuceIron,SubstancePortion,0.41,mg/100g
IcebergLettucePotassium,SubstancePortion,141,mg/100g
IcebergLettuceProtein,SubstancePortion,0.9,g/100g
IcebergLettuceSodium,SubstancePortion,10,mg/100g
